Date,Open,High,Low,Close
5/30/2014,951.42999,955.97998,950.52002,952.20001
6/2/2014,958.65997,972.53003,957.87,971.72998
6/3/2014,982.47998,984.59998,975.77002,982.07001
6/4/2014,983.53998,985.15997,976.91998,978.32001
6/5/2014,981.65002,982.5,974.12,980.10999
6/6/2014,986.46002,987.31,980.89001,983.64001
6/9/2014,988.23999,988.96002,979.53998,982.07001
6/10/2014,979.29999,990.97998,976.03998,990.65997
6/11/2014,990.04999,990.66998,979.59003,985.56
6/12/2014,983.48999,987.59998,979.28003,979.28003
6/13/2014,978.16998,983.84003,976.25,977.89001
6/16/2014,980.89001,992.16998,980.82001,990.03003
6/17/2014,992.14001,993.79999,986.38,988.25
6/18/2014,988.20001,989.35999,972.90997,974.78003
6/19/2014,977.76001,982.71002,970.35999,981.65997
6/20/2014,983.65997,985.87,979.16998,984.82001
6/23/2014,987.69,989.69,983.60999,985.71002
6/24/2014,983.76001,984.13,974.53998,979.83002
6/25/2014,981.21002,986.83002,978.48999,985.87
6/26/2014,988.72998,993.47998,988.01001,992.66998
6/27/2014,994.70001,1003.08,988.63,997.60999
6/30/2014,1001.5,1004.79,997.70001,999.62
7/2/2014,1003.49,1005.29,998.94,1002.53
7/3/2014,1002.81,1005.51,999.15997,1002.99
7/4/2014,1006.53,1011.06,1003.53,1003.64
7/7/2014,1007.27,1012.04,1005.4,1009.18
7/8/2014,1011.66,1017.93,1011.03,1013.82
7/9/2014,1011.87,1017.3,1010.68,1013.12
7/10/2014,1017.62,1022.28,1016.56,1021.06
7/14/2014,1026.26,1032.2,1024.79,1029.6801
7/15/2014,1032.55,1032.9,1023.47,1026.21
7/16/2014,1027.98,1033.4399,1025.8101,1029.54
7/17/2014,1028.14,1033.0699,1025.53,1033.0699
7/18/2014,1030.63,1034.91,1023.45,1030.1899
7/21/2014,1031.97,1035.7,1029.4,1031.65
7/22/2014,1034.53,1035.9301,1016.13,1019.72
7/23/2014,1024.79,1033.86,1024,1033.86
7/24/2014,1036.5601,1036.95,1031.38,1034.98
7/25/2014,1035.21,1037.05,1028.8199,1033.8199
7/28/2014,1034.64,1035.1801,1024.99,1028.27
7/29/2014,1030.5,1034.86,1016.31,1018.53
7/30/2014,1019.08,1025.35,1006.9,1019.4
7/31/2014,1015.79,1022.99,1005.54,1006.97
8/1/2014,997.60999,1007.1,996.70001,1005.23
8/4/2014,1008.42,1020.58,1006.19,1019.45
8/5/2014,1021.52,1028.6899,1019.43,1025.51
8/6/2014,1024.42,1028.51,1019.99,1021.42
8/7/2014,1022.9,1023.72,1014.59,1021.71
8/8/2014,1014.45,1019.85,1012.44,1018.47
8/13/2014,1026.42,1039.61,1025.26,1038.63
8/14/2014,1042.71,1044.4,1034.2,1036.64
8/15/2014,1037.66,1042.17,1031.52,1039.38
8/18/2014,1040.1899,1042.36,1033.03,1035.54
8/19/2014,1041.3,1042.0601,1035.17,1035.7
8/20/2014,1037.76,1042.88,1037.76,1041.5601
8/21/2014,1040.01,1044.28,1038.77,1040.8
8/22/2014,1044.21,1046.05,1042.4301,1043.55
8/25/2014,1046.9301,1051.48,1044.37,1048.53
8/26/2014,1049.9,1051.55,1044.78,1046.1899
8/27/2014,1048.74,1054.11,1045.64,1049.71
8/28/2014,1050.9399,1051.85,1039,1044.4
8/29/2014,1040.35,1047.39,1039.37,1044.25
9/1/2014,1048.53,1051.0601,1045.85,1046.14
9/2/2014,1047.88,1051.42,1045.47,1047.85
9/3/2014,1051.77,1060.08,1049.78,1058.83
9/4/2014,1060.1,1061.91,1054.58,1056.87
9/5/2014,1058.92,1061.29,1055.09,1059.5699
