Date,Open,High,Low,Close,Volume
2012-07-17,850.34,852.27,847.69,851.44,816700000
2012-07-18,849.29,851.39,843.38,846.8,799320000
2012-07-19,853.39,853.64,838.53,840.77,993560000
2012-07-20,843.54,845.5,834.19,836.99,565890000
2012-07-23,820.99,825.41,817.16,818.43,590240000
2012-07-24,817.53,823.96,815.93,819.59,521170000
2012-07-25,818.42,821.06,812.57,820.13,602190000
2012-07-26,824.12,826.23,808.42,808.79,639030000
2012-07-27,821.21,821.64,808.9,812.36,743960000
2012-07-30,816.32,824.48,815.85,824.48,417650000
2012-07-31,828.66,829.16,820.84,828.67,704210000
2012-08-01,826.78,830.29,824.39,829.1,775770000
2012-08-03,823.69,826.99,816.83,825.47,912020000
2012-08-06,832.44,834.92,828.51,833.52,617580000
2012-08-07,836.09,836.84,831.55,832.96,593460000
2012-08-08,836.79,839.53,834.71,835.75,1270000000
2012-08-09,840.39,843.39,833.79,839.25,1070000000
2012-08-10,838.26,841.5,833.82,841.5,481460000
2012-08-14,845.42,848.99,840.78,848.99,608050000
2012-08-15,845.54,848.89,841.48,848.75,621370000
2012-08-16,849.85,851.22,845.18,845.18,758510000
2012-08-17,849.45,849.46,840.87,843.73,664550000
2012-08-20,842.03,847.76,838.96,846.85,391190000
2012-08-21,845.25,850.84,844.77,848.17,769210000
2012-08-22,846.25,849.58,844.86,848.83,662960000
2012-08-23,850.2,855.64,849.3,852.17,762960000
2012-08-24,847.31,851.26,845.71,850.6,836930000
2012-08-27,852.16,853.93,846.66,846.66,548940000
2012-08-28,846.94,850.84,845.44,845.55,836700000
2012-08-29,845.34,847.96,834.88,834.88,873520000
2012-08-30,831.61,832.38,825.35,830.52,905780000
2012-08-31,829.25,840.32,827.67,840.32,1060000000
2012-09-03,842.89,849.05,840.97,846.27,860270000
2012-09-04,849.88,850.56,843.01,846.46,943440000
2012-09-05,841.76,847.19,841.01,843.17,888680000
2012-09-06,846.09,852.8,845.58,850.5,919960000
2012-09-07,858.49,859.74,851.95,851.95,1060000000
2012-09-10,854.56,858.27,854.17,855.12,790250000
2012-09-11,854.59,856.43,850.17,852.8,1390000000
2012-09-12,858.15,862.15,856,862.15,925540000
2012-09-13,863.31,863.43,856.88,860.36,1310000000
2012-09-14,872.85,877.34,869.82,874.81,1400000000
2012-09-17,875.76,879.4,872.67,876.61,926510000
2012-09-18,872.93,876.81,868.5,870.49,623980000
2012-09-19,871.04,880.25,870.93,879.92,1020000000
2012-09-20,876.74,879.99,871.9,877.22,1000000000
2012-09-21,879.06,881.12,875.82,878.85,1010000000
2012-09-24,875.96,879.56,873.45,876.6,1650000000
2012-09-25,878.59,880.07,875.59,878.03,1300000000
2012-09-26,873.92,875.69,866.03,868.98,1750000000
2012-09-27,870.5,880.37,870.05,876.67,953380000
2012-09-28,884.4,887.86,882.1,886.58,937540000
2012-10-01,882.98,887.89,881.68,884.21,593830000
2012-10-02,887.69,890.11,884.53,887.5,644960000
2012-10-03,888.82,891,884.37,887.49,842130000
2012-10-04,887.85,892.63,885.82,886.98,1120000000
2012-10-05,890.16,892.45,887.74,889.77,857750000
2012-10-08,886.82,888.13,880.22,883.05,753830000
2012-10-09,887.85,890.82,874.48,874.48,800820000
2012-10-10,869.86,875.84,869.86,872.13,1030000000
2012-10-11,872.83,877.42,865.81,877.16,1350000000
2012-10-12,879.68,882.96,878.15,879.31,843500000
2012-10-15,875.45,877.83,869.94,874.48,561320000
2012-10-16,878.28,879.26,871.13,871.78,864790000
2012-10-17,875.67,881.93,873.31,881.67,1140000000
2012-10-18,885.64,889.78,882,889.29,1250000000
2012-10-19,889.3,891.39,885.82,886.76,1310000000
2012-10-22,881.98,888.71,880.92,887.97,537240000
2012-10-24,882.76,885.45,873.21,875.64,1210000000
2012-10-25,873.97,878.93,868.34,877.61,716720000
2012-10-26,873.8,874.99,859.29,866.98,750120000
2012-10-29,866.74,868.23,861.56,865.65,611010000
2012-10-30,867.01,876.66,865.72,876.66,472710000
2012-10-31,876.21,880.38,874.39,879.06,647010000
2012-11-01,877.29,880.99,874.93,877.71,705370000
2012-11-02,884.81,887.15,882.37,883.54,1100000000
2012-11-05,883.62,886.73,880.66,883.43,660440000
2012-11-06,884.21,888.42,876.61,878.72,609100000
2012-11-07,881.6,882.7,875.4,877.02,1040000000
2012-11-08,868.58,873.02,866.42,872.18,955200000
2012-11-09,871.7,877.28,869.5,873.17,774430000
2012-11-12,875.24,877.55,872.08,876.3,896930000
2012-11-13,873.47,874.48,867.59,871.41,1270000000
2012-11-14,872.78,874.61,864.08,864.47,964400000
2012-11-15,861.09,863.71,855.61,862.9,937880000
2012-11-16,862.47,867.29,861.52,867.07,501570000
2012-11-19,868.58,870.24,865.3,869.41,419940000
2012-11-20,873.8,875.02,862.27,864.21,509580000
2012-11-21,865.29,866.41,858.55,864.97,476270000
2012-11-22,866.95,869.76,865.04,867.4,1040000000
2012-11-23,865.4,870.16,862.17,869.72,472530000
2012-11-26,873.88,876.64,871.59,874.87,549990000
2012-11-27,876.75,880.61,875.49,879.61,695170000
2012-11-28,877.93,882.73,875.52,880.7,560690000
2012-11-29,883.62,888.84,883.09,887.44,993150000
2012-11-30,890.94,902.18,890.32,898.81,1350000000
2012-12-03,902.1,905.23,899.94,904.43,760060000
2012-12-04,905.4,906.35,899.24,901.85,466520000
2012-12-06,906.55,911.88,905.73,909.23,738890000
2012-12-07,910.27,911.57,902.08,905.71,535590000
2012-12-11,910.53,913.58,908.34,911.37,722970000
2012-12-12,915.97,922.08,914.16,921.7,873670000
2012-12-13,922.8,925.39,917.93,920.41,633050000
2012-12-14,921.09,924.96,919.85,922.86,755950000
2012-12-17,925.22,928.59,921.33,922.78,633440000
2012-12-18,926.41,928.05,915.88,927.02,728560000
2012-12-19,932.13,939.03,929.89,938.71,660550000
2012-12-20,937.83,939.64,933.07,937.52,597090000
2012-12-21,932.63,936.13,930.26,934.21,470370000
2012-12-24,933.75,935.73,930.58,935.73,493990000
2012-12-25,935.07,937.9,934.19,937.42,841280000
2012-12-26,937.81,941.69,936.58,939.36,605130000
2012-12-27,941.13,952.79,940.35,951.29,717190000
2012-12-28,954.69,955.6,945.39,945.39,710470000
2013-01-02,952.24,958.8,951.73,954.41,940880000
2013-01-03,957.06,959.26,951.83,953.05,1230000000
2013-01-04,950.42,958.42,946.31,958.42,1390000000
2013-01-07,963.14,964.01,956.17,956.17,902700000
2013-01-08,955.62,960.48,950.65,956.61,1110000000
2013-01-09,960.62,964.79,959.15,959.45,1370000000
2013-01-10,961.32,963.35,945.57,947.1,1720000000
2013-01-11,947.76,950.08,935.99,950.08,1130000000
2013-01-14,953.57,958.84,950.61,957.21,1790000000
2013-01-15,961.6,962.35,949.9,953.81,1200000000
2013-01-16,954.92,955.92,944.2,946.73,859090000
2013-01-17,950.19,950.9,941.43,949.84,1080000000
2013-01-18,955.26,961.12,953.87,959.56,1670000000
2013-01-21,964.34,965.65,958.53,963.1,1820000000
2013-01-22,963.89,971.5,959.85,960.22,1360000000
2013-01-23,965.32,967.66,953.4,965.24,1510000000
2013-01-24,970.42,972.3,963.15,969.81,1740000000
2013-01-25,971.13,978.99,970.08,977.53,1810000000
2013-01-28,981.33,985.48,978.37,984.52,2170000000
2013-01-29,986.83,990.78,982.43,989.92,2270000000
2013-01-30,993.4,1001.97,990.14,1000.25,1890000000
2013-01-31,997.22,1000.59,985.87,988.21,2160000000
2013-02-01,993.32,1005.52,992.01,1005.09,1550000000
2013-02-04,1011.58,1014.12,1006.84,1009.27,1490000000
2013-02-05,1000.9,1010.86,999.98,1007.88,949980000
2013-02-06,1008.47,1009.72,1000.04,1001.02,1180000000
2013-02-07,997.95,1002.63,988.59,999.93,958310000
2013-02-08,999.08,1005.56,994.68,995.9,1820000000
2013-02-11,997.75,998.59,986.18,986.18,1020000000
2013-02-12,984.54,990.07,982.12,983.68,1270000000
2013-02-13,989.51,1004.14,989.46,1004.05,1840000000
2013-02-14,1009.8,1013.06,1005.25,1012.43,1280000000
2013-02-15,1009.92,1011.09,1001.91,1006.06,1400000000
2013-02-18,1006.91,1010.21,1003.58,1004.82,1030000000
